Gene.symbol	ID	adj.P.Val	logFC
MPO	8016932	3.61781344674199e-19	5.56350115651021
FLT3	7970737	4.83571557426423e-19	5.2500645271644
KIAA0101	7989647	6.30816005381361e-19	4.55913523978118
BUB1B	7982663	1.66404320184616e-18	2.75655355297846
SUCNR1	8083422	1.93857268145515e-18	2.99681551599093
MCM10	7926259	3.71213666952313e-18	2.31884765424603
TPX2	8061579	4.69552919298598e-18	3.15641491614172
CIT	7966878	1.14794610995488e-17	2.37075070203741
CDC45	8071212	1.65866463412725e-17	2.28750067397506
IQGAP3	7921033	1.77553965334511e-17	1.66969735012925
POLQ	8089875	1.77553965334511e-17	2.09197758109184
CPXM1	8064539	6.59236540681646e-17	3.77695351746145
STK38	8126018	7.22846118132058e-17	-1.8804326870068
ANLN	8132318	7.50468496299332e-17	2.64104618221088
PRC1	7991406	7.50468496299332e-17	3.0800967854263
MELK	8155214	1.35263969928417e-16	2.29731792385714
TOP2A	8014974	1.7319446378169e-16	3.29810352836282
NCAPG	8094278	2.37600560889478e-16	3.22796342043764
CBX7	8076185	4.52689592358881e-16	-2.24007964966893
KIF23	7984540	4.59347924168233e-16	2.82172753519388
TYMS	8019842	5.46160241575207e-16	3.67035228143311
KIT	8095110	7.79374037619323e-16	4.86400851021202
ECRP	7973108	7.88557587748143e-16	4.55318219877211
ECRP	7973108	7.88557587748143e-16	4.55318219877211
DTL	7909568	7.98952126104647e-16	3.67921774278912
PLCL2	8078187	7.98952126104647e-16	-1.89971809574036
CDT1	7997839	8.59049950225188e-16	1.71491252610091
KIF14	7923189	1.19628115231684e-15	2.19593366886508
PECR	8058837	1.65214459104176e-15	-2.16251306721542
DIAPH3	7971866	2.07208874427226e-15	1.91092967643311
NRG4	7990555	2.33222629471214e-15	3.4068875179161
CDC25A	8086880	2.95877390100045e-15	1.79713843244785
CENPI	8168794	3.39242148650163e-15	2.24023758153968
MRC1	7926451	3.39242148650163e-15	3.04859703215193
EXO1	7910997	5.54188117708548e-15	2.47469098344444
ORC1	7916167	5.96215493515321e-15	1.99692358986621
FANCI	7985829	7.91344167439364e-15	2.54306870017461
DEPDC1B	8112260	8.08207008157322e-15	2.0924736368254
SPC25	8056572	9.15158150236524e-15	2.19639068827098
	7893831	1.0894768428063e-14	-1.37559173919161
ASPM	7923086	1.12458910811223e-14	2.50196107826077
GOLGA8R///GOLGA8O///GOLGA8N	7987139	1.57775346977854e-14	2.66116588276758
PLTP	8066619	1.78721474770283e-14	2.09153848252834
ARHGAP11A	7982358	2.02431254996675e-14	3.15486511828005
TNFRSF21	8126839	2.10179878627337e-14	2.26066604138889
MCM4	8146357	2.10179878627337e-14	2.23452321069842
FOXM1	7960340	2.10179878627337e-14	1.94159098212698
KCNK5	8126153	2.3162616341626e-14	2.53546041605783
PCNA	8064844	2.3803534050848e-14	2.09183679341837
TTK	8120838	2.90092900669031e-14	2.23504714605669
CLSPN	7914851	3.0165616534924e-14	1.90987652663946
CLSPN///CLSPN	7914878	3.46775162650281e-14	2.6115634559093
IGF2BP2	8092552	4.20086831589601e-14	3.27423061079705
RAD54L	7901192	4.25385218768639e-14	1.36294764787755
KIF11	7929258	4.28943099338667e-14	2.59310933700227
TK1	8018849	4.28943099338667e-14	1.78384948485034
CENPF	7909708	4.28943099338667e-14	2.82096547029252
	7982290	4.43493718144477e-14	2.38054530960884
NUF2	7906930	4.7763300147498e-14	2.43885440219048
GUCY1A3	8097957	4.7763300147498e-14	4.32681910592404
GOLGA8R///GOLGA8O///GOLGA8M///GOLGA8K///GOLGA8T///GOLGA8J///GOLGA8S///GOLGA8N///GOLGA8EP	7987027	4.82121778702968e-14	2.21741409829026
KIF2C	7901010	5.49650539021383e-14	1.97681992265306
CTSG	7978351	6.01727974915325e-14	3.30185340424943
DEPTOR	8148059	6.6747188727105e-14	3.5786581114932
SCCPDH	7911155	7.35789695125114e-14	2.83305394852834
KIF20A	8108301	7.61889665505358e-14	2.37317675069274
